date,klimastreik,klima,streik
2018-10-01,0,2,0
2018-10-02,0,3,0
2018-10-03,0,4,0
2018-10-04,0,4,0
2018-10-05,0,0,0
2018-10-06,0,1,0
2018-10-07,0,2,0
2018-10-08,0,1,0
2018-10-09,0,7,0
2018-10-10,0,3,0
2018-10-11,0,3,1
2018-10-12,0,3,1
2018-10-13,0,7,0
2018-10-14,0,2,0
2018-10-15,0,0,1
2018-10-16,0,4,0
2018-10-17,0,5,1
2018-10-18,0,1,2
2018-10-19,0,0,1
2018-10-20,0,0,0
2018-10-21,0,2,0
2018-10-22,0,2,1
2018-10-23,0,1,0
2018-10-24,0,2,1
2018-10-25,0,4,1
2018-10-26,0,1,1
2018-10-27,0,1,0
2018-10-28,0,2,0
2018-10-29,0,0,1
2018-10-30,0,1,0
2018-10-31,0,1,1
2018-11-01,0,6,0
2018-11-02,0,1,3
2018-11-03,0,1,1
2018-11-04,0,2,1
2018-11-05,0,0,0
2018-11-06,0,4,0
2018-11-07,0,1,0
2018-11-08,0,1,0
2018-11-09,0,1,0
2018-11-10,0,1,2
2018-11-11,0,2,0
2018-11-12,0,2,0
2018-11-13,0,8,0
2018-11-14,0,6,1
2018-11-15,0,1,0
2018-11-16,0,2,1
2018-11-17,0,2,1
2018-11-18,0,1,1
2018-11-19,0,1,0
2018-11-20,0,1,0
2018-11-21,0,0,1
2018-11-22,0,2,0
2018-11-23,0,3,0
2018-11-24,0,1,0
2018-11-25,0,4,0
2018-11-26,0,1,0
2018-11-27,0,3,0
2018-11-28,0,2,1
2018-11-29,0,2,0
2018-11-30,0,4,0
2018-12-01,0,3,0
2018-12-02,0,2,0
2018-12-03,0,0,0
2018-12-04,0,3,1
2018-12-05,0,4,1
2018-12-06,0,2,1
2018-12-07,0,6,0
2018-12-08,0,2,0
2018-12-09,0,2,0
2018-12-10,0,4,0
2018-12-11,0,3,0
2018-12-12,0,3,0
2018-12-13,0,4,0
2018-12-14,0,4,0
2018-12-15,0,2,0
2018-12-16,0,4,0
2018-12-17,0,2,1
2018-12-18,1,2,1
2018-12-19,0,3,0
2018-12-20,0,4,0
2018-12-21,2,3,2
2018-12-22,0,1,0
2018-12-23,0,2,0
2018-12-24,0,1,0
2018-12-25,0,0,0
2018-12-26,0,0,0
2018-12-27,0,5,1
2018-12-28,0,1,0
2018-12-29,0,2,0
2018-12-30,0,5,0
2018-12-31,0,4,1
2019-01-01,0,0,0
2019-01-02,0,2,0
2019-01-03,0,3,0
2019-01-04,0,3,0
2019-01-05,0,2,0
2019-01-06,0,2,0
2019-01-07,0,4,0
2019-01-08,0,2,0
2019-01-09,0,0,1
2019-01-10,0,1,0
2019-01-11,2,5,2
2019-01-12,0,1,0
2019-01-13,0,2,0
2019-01-14,0,2,0
2019-01-15,1,2,2
2019-01-16,1,1,1
2019-01-17,1,7,1
2019-01-18,1,4,2
2019-01-19,0,2,0
2019-01-20,2,6,3
2019-01-21,2,4,2
2019-01-22,1,4,1
2019-01-23,0,3,1
2019-01-24,0,1,0
2019-01-25,1,5,2
2019-01-26,0,1,1
2019-01-27,0,3,1
2019-01-28,0,2,0
2019-01-29,3,7,5
2019-01-30,0,1,0
2019-01-31,1,2,2
2019-02-01,1,3,2
2019-02-02,3,5,3
2019-02-03,0,4,1
2019-02-04,1,5,2
2019-02-05,1,6,2
2019-02-06,1,6,2
2019-02-07,0,6,0
2019-02-08,1,5,1
2019-02-09,0,7,0
2019-02-10,0,6,0
2019-02-11,0,6,0
2019-02-12,1,4,1
2019-02-13,1,5,1
2019-02-14,0,5,1
2019-02-15,2,6,3
2019-02-16,0,3,0
2019-02-17,2,4,2
2019-02-18,1,2,2
2019-02-19,1,5,1
2019-02-20,1,10,2
2019-02-21,0,5,0
2019-02-22,4,10,6
2019-02-23,0,2,0
2019-02-24,0,5,1
2019-02-25,0,4,0
2019-02-26,1,7,1
2019-02-27,0,2,1
2019-02-28,0,7,0
2019-03-01,0,3,0
2019-03-02,2,4,3
2019-03-03,1,9,1
2019-03-04,0,3,1
2019-03-05,0,8,1
2019-03-06,0,5,0
2019-03-07,1,7,1
2019-03-08,0,4,1
2019-03-09,0,1,3
2019-03-10,1,3,2
2019-03-11,1,8,2
2019-03-12,1,5,1
2019-03-13,0,8,1
2019-03-14,2,13,3
2019-03-15,5,13,7
2019-03-16,3,8,4
2019-03-17,0,4,1
2019-03-18,1,2,1
2019-03-19,1,4,1
2019-03-20,1,4,2
2019-03-21,0,5,3
2019-03-22,2,5,2
2019-03-23,0,5,1
2019-03-24,0,9,0
2019-03-25,1,5,1
2019-03-26,0,6,0
2019-03-27,0,1,0
2019-03-28,0,6,0
2019-03-29,1,4,1
2019-03-30,0,7,1
2019-03-31,2,12,2
2019-04-01,1,11,1
2019-04-02,0,11,2
2019-04-03,0,3,0
2019-04-04,4,12,4
2019-04-05,1,5,1
2019-04-06,3,9,6
2019-04-07,0,3,0
2019-04-08,1,4,1
2019-04-09,1,10,1
2019-04-10,0,5,0
2019-04-11,1,9,2
2019-04-12,2,5,2
2019-04-13,0,6,1
2019-04-14,1,3,2
2019-04-15,1,5,2
2019-04-16,0,3,0
2019-04-17,0,0,0
2019-04-18,0,11,0
